region,OBJECTID,site_ID,AUTHORIZATION_TYPE,company_person,Expiry Date of Lease/Permit/Licence,Cultivation Method,Site Size (HA),species,species_type
New Brunswick,615,MS-0605,Q09,Donald LeBouthillier,"April 1, 2028",Bottom culture,2.02,,Shellfish
New Brunswick,616,MS-0460,Q09,Peter MacEachern,"April 1, 2025",Not Applicable,9.27,,Shellfish
New Brunswick,618,MS-0750,Q09,Roger Benoit,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",6.86,,Shellfish
New Brunswick,619,MS-0010,Q09,Gilles Allain,"April 1, 2030",Bottom culture,0.69,,Shellfish
New Brunswick,621,MS-0628,Q09,Succession Sullivan Savoie,"April 1, 2031",Bottom culture,1.34,,Shellfish
New Brunswick,623,MS-0629,Q09,Nicholas Savoie,"April 1, 2030",Bottom culture,1.21,,Shellfish
New Brunswick,627,MS-0658,Q09,Émile Basque,"April 1, 2027",Not Applicable,16.7,,Shellfish
New Brunswick,629,MS-0662,Q09,Leigh Stright,"April 1, 2031",Bottom culture,7.53,,Shellfish
New Brunswick,632,MS-0787,Q09,Paul Laplante,"April 1, 2031",Bottom culture,2.39,,Shellfish
New Brunswick,634,MS-0789,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",31.26,,Shellfish
New Brunswick,636,MS-0800,Q09,Anaclet Larocque,"April 1, 2026",Bottom culture,1.62,,Shellfish
New Brunswick,638,MS-0741,Q09,Estate William Murdock,"April 1, 2026",Bottom culture,8,,Shellfish
New Brunswick,640,MS-0743,Q09,Ronald Reid,"April 1, 2029","Bottom culture,Off-bottom culture",8,,Shellfish
New Brunswick,642,MS-0749,Q09,Denis N. Thibodeau et Eric Thibodeau,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",8.2,,Shellfish
New Brunswick,644,MS-0890,Q09,Edward Robertson,"April 1, 2026",Bottom culture,2.27,,Shellfish
New Brunswick,646,MS-1059,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2031",Bottom culture,1.21,,Shellfish
New Brunswick,647,MS-0041,Q09,Serge Beaudin,"April 1, 2035",Bottom culture,6.19,,Shellfish
New Brunswick,649,MS-0971,Q09,Shawn A. Stright,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",5.78,,Shellfish
New Brunswick,651,MS-0074,Q09,Gaëtan Robichaud,"April 1, 2028",Bottom culture,2.02,,Shellfish
New Brunswick,653,MS-0848,Q09,Roger Léger,"April 1, 2024",Bottom culture,3.24,,Shellfish
New Brunswick,655,MS-0874,Q09,Gaétan Dugas,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",10.53,,Shellfish
New Brunswick,657,MS-0875,Q09,Gaétan Dugas,"April 1, 2027","Bottom culture,Off-bottom culture,Suspended culture",7.37,,Shellfish
New Brunswick,658,MS-0084,Q09,Pea Breau,"April 1, 2029",Bottom culture,1.21,,Shellfish
New Brunswick,659,MS-0088,Q09,Zoël A.. Breau,"April 1, 2031",Bottom culture,2.02,,Shellfish
New Brunswick,660,MS-0324,Q09,Gaëtan Godin,"April 1, 2030",Not Applicable,4.93,,Shellfish
New Brunswick,661,MS-0337,Q09,Claude Blanchard,"April 1, 2029",Not Applicable,3.85,,Shellfish
New Brunswick,662,MS-0120,Q09,La Ferme Ostréicole Chiasson Ltée,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",12.48,,Shellfish
New Brunswick,663,MS-0138,Q09,Kenneth George Clark,"April 1, 2032",Bottom culture,2.83,,Shellfish
New Brunswick,664,MS-0359,Q09,Émile Basque,"April 1, 2029",Not Applicable,1.62,,Shellfish
New Brunswick,665,MS-0153,Q09,Joanne Cormier,"April 1, 2028",Bottom culture,1.62,,Shellfish
New Brunswick,666,MS-0197,Q09,Jules J. Breau,"April 1, 2030",Bottom culture,1.21,,Shellfish
New Brunswick,667,MS-0198,Q09,Yves Despres,"April 1, 2027",Bottom culture,1.21,,Shellfish
New Brunswick,668,MS-0222,Q09,Gaétan Dugas,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",6.64,,Shellfish
New Brunswick,669,MS-0238,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",1.78,,Shellfish
New Brunswick,670,MS-0258,Q09,Louis-Marie Gauthier,"April 1, 2031",Bottom culture,1.62,,Shellfish
New Brunswick,671,MS-0271,Q09,Jean-Camille Gionet,"April 1, 2025",Bottom culture,2.02,,Shellfish
New Brunswick,672,MS-0507,Q09,Jean-Pierre Mercier,"April 1, 2028",Bottom culture,0.93,,Shellfish
New Brunswick,673,MS-0508,Q09,Stéphane Mallet,"April 1, 2025","Bottom culture,Off-bottom culture,Suspended culture",3.81,,Shellfish
New Brunswick,674,MS-0780,Q09,Pea Breau,"April 1, 2031",Bottom culture,4.25,,Shellfish
New Brunswick,675,MS-0540,Q09,Réjean Noël,"April 1, 2032","Bottom culture,Off-bottom culture,Suspended culture",1.62,,Shellfish
New Brunswick,677,MS-0081,Q09,Jules J. Breau,"April 1, 2032",Bottom culture,1.32,,Shellfish
New Brunswick,678,MS-0255,Q09,Louis-Marie Gauthier,"April 1, 2032",Bottom culture,1.21,,Shellfish
New Brunswick,680,MS-0687,Q09,Bruce Wilson,"April 1, 2032",Bottom culture,2.43,,Shellfish
New Brunswick,682,MS-0122,Q09,André Noël,"April 1, 2032",Bottom culture,3.24,,Shellfish
New Brunswick,684,MS-0459,Q09,Joseph B.. Manuel,"April 1, 2032",Bottom culture,2.43,,Shellfish
New Brunswick,685,MS-1110,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2032",Bottom culture,8.83,,Shellfish
New Brunswick,690,MS-0736,Q09,Eric Duguay,"April 1, 2023",Bottom culture,15.64,,Shellfish
New Brunswick,694,MS-0428,Q09,Andréa Lebouthillier,"April 1, 2034",Bottom culture,4.05,,Shellfish
New Brunswick,695,MS-1077,Q09,MAGELLAN AQUA FARMS INC.,"April 1, 2024",Suspended culture,12.9,,Shellfish
New Brunswick,698,MS-0779,Q09,Pierre Robichaud et Bernard Robichaud,"April 1, 2024",Bottom culture,2.02,,Shellfish
New Brunswick,701,MS-0052,Q09,Bruno Roussel,"April 1, 2034","Bottom culture,Off-bottom culture,Suspended culture",2.42,,Shellfish
New Brunswick,703,MS-1161,Q09,Gaétan Dugas,"April 1, 2034","Bottom culture,Off-bottom culture,Suspended culture",6.48,,Shellfish
New Brunswick,704,MS-0961,Q09,Victor Aquaculture Inc.,"April 1, 2034","Bottom culture,Off-bottom culture,Suspended culture",4.85,,Shellfish
New Brunswick,710,MS-0004,Q09,Réal LeBouthillier,"April 1, 2035",Bottom culture,1.62,,Shellfish
New Brunswick,712,MS-0155,Q09,Stephen Morrison,"April 1, 2025","Bottom culture,Off-bottom culture,Suspended culture",4.92,,Shellfish
New Brunswick,714,MS-1179,Q09,Elsipogtog First Nation,"April 1, 2025","Bottom culture,Off-bottom culture",13,,Shellfish
New Brunswick,716,MS-0614,Q09,R.M.L. PECHE LTEE,"April 1, 2035","Bottom culture,Off-bottom culture,Suspended culture",1.21,,Shellfish
New Brunswick,719,MS-0237,Q09,Daniel Doiron,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",6.2,,Shellfish
New Brunswick,720,MS-0061,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",5.75,,Shellfish
New Brunswick,722,MS-0587,Q09,Madone Vienneau,"April 1, 2026",Bottom culture,2.43,,Shellfish
New Brunswick,724,MS-1192,Q09,Zoël A.. Breau,"April 1, 2026",Bottom culture,2.02,,Shellfish
New Brunswick,727,MS-0055,Q09,Maurice Mallet et Diane Landry,"April 1, 2026","Bottom culture,Suspended culture",6.84,,Shellfish
New Brunswick,728,MS-0148,Q09,Maurice Mallet et Diane Landry,"April 1, 2026","Bottom culture,Suspended culture",8.92,,Shellfish
New Brunswick,730,MS-0794,Q09,Maurice Mallet et Diane Landry,"April 1, 2026","Bottom culture,Suspended culture",3.72,,Shellfish
New Brunswick,733,MS-1197,Q09,Huîtres Aquador Inc./ Aquador Oysters Inc.,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",6.25,,Shellfish
New Brunswick,734,MS-0257,Q09,Louis-Marie Gauthier,"April 1, 2026",Bottom culture,2.43,,Shellfish
New Brunswick,736,MS-0256,Q09,Louis-Marie Gauthier,"April 1, 2026",Bottom culture,1.62,,Shellfish
New Brunswick,741,MS-1201,Q09,Bruno Savoie,"April 1, 2027",Bottom culture,3.74,,Shellfish
New Brunswick,743,MS-0013,Q09,Roger Léger,"April 1, 2027",Bottom culture,0.81,,Shellfish
New Brunswick,745,MS-0664,Q09,Joseph B.. Manuel,"April 1, 2027",Bottom culture,7.73,,Shellfish
New Brunswick,748,MS-1220,Q09,Pêcheries Karine G. Ltée,"April 1, 2027",Bottom culture,7.89,,Shellfish
New Brunswick,749,MS-0347,Q09,Roger LeBlanc,"April 1, 2027",Bottom culture,2.23,,Shellfish
New Brunswick,751,MS-0449,Q09,Bertin Joseph. Martin,"April 1, 2027",Bottom culture,1.21,,Shellfish
New Brunswick,753,MS-0356,Q09,Patrice Jean,"April 1, 2028",Bottom culture,0.81,,Shellfish
New Brunswick,755,MS-0099,Q09,Amédée Savoie,"April 1, 2028",Bottom culture,2.02,,Shellfish
New Brunswick,758,MS-1035,Q09,Denis Noël,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",2.3,,Shellfish
New Brunswick,759,MS-0124,Q09,La Ferme Ostréicole Chiasson Ltée,"April 1, 2028",Bottom culture,2.43,,Shellfish
New Brunswick,761,MS-0223,Q09,Marc Cormier,"April 1, 2028",Bottom culture,6.8,,Shellfish
New Brunswick,763,MS-0659,Q09,Shawn A. Stright,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",5.1,,Shellfish
New Brunswick,765,MS-0550,Q09,3213861 NOVA SCOTIA LIMITED,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",2.55,,Shellfish
New Brunswick,768,MS-0999,Q09,Jean-Marc Poirier,"April 1, 2028",Bottom culture,3.24,,Shellfish
New Brunswick,771,MS-0370,Q09,King Aquaculture Inc.,"April 1, 2026","Bottom culture,Off-bottom culture,Suspended culture",12.99,,Shellfish
New Brunswick,773,MS-0461,Q09,James MacEachern,"April 1, 2028",Bottom culture,4.05,,Shellfish
New Brunswick,776,MS-0598,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",7,,Shellfish
New Brunswick,778,MS-0469,Q09,L'ETANG RUISSEAU BAR LIMITEE,"April 1, 2028","Bottom culture,Off-bottom culture,Suspended culture",0.93,,Shellfish
New Brunswick,780,MS-1209,Q09,Bouctouche Bay Oysters Inc.,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",6.91,,Shellfish
New Brunswick,781,MS-0342,Q09,Stéphane McLaughlin,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",3.81,,Shellfish
New Brunswick,783,MS-0500,Q09,Omer Mallet,"April 1, 2029",Bottom culture,1.21,,Shellfish
New Brunswick,785,MS-0406,Q09,Edward LaTulippe,"April 1, 2029",Bottom culture,4.04,,Shellfish
New Brunswick,787,MS-0593,Q09,Martin Robichaud,"April 1, 2029",Bottom culture,2.02,,Shellfish
New Brunswick,789,MS-0872,Q09,Martin Robichaud,"April 1, 2029",Bottom culture,2.02,,Shellfish
New Brunswick,791,MS-0228,Q09,Mario L.. Chiasson,"April 1, 2029",Bottom culture,1.62,,Shellfish
New Brunswick,796,MS-1264,Q09,Ernest Robichaud,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",9.35,,Shellfish
New Brunswick,798,MS-0171,Q09,Maurice Daigle et Alexis Daigle,"April 1, 2029","Bottom culture,Off-bottom culture,Suspended culture",2.43,,Shellfish
New Brunswick,800,MS-1130,Q09,Stéphane McLaughlin,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",5,,Shellfish
New Brunswick,802,MS-0468,Q09,Mathieu LeBlanc,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",3.24,,Shellfish
New Brunswick,804,MS-1268,Q09,L2 - Recherche & Production Aquacole Inc.,"April 1, 2030",Bottom culture,16.5,,Shellfish
New Brunswick,806,MS-1266,Q09,Shawn A. Stright,"April 1, 2031",Bottom culture,8.26,,Shellfish
New Brunswick,807,MS-1232,Q11,Daniel Doiron,"April 1, 2025","Bottom culture,Off-bottom culture,Suspended culture",2,,Shellfish
New Brunswick,808,MS-0400,Q09,Damien Savoie,"April 1, 2030","Bottom culture,Off-bottom culture,Suspended culture",2.78,,Shellfish
New Brunswick,810,MS-0482,Q09,Roger Bulger,"April 1, 2031",Bottom culture,0.93,,Shellfish
New Brunswick,813,MS-0026,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2031",Bottom culture,2.02,,Shellfish
New Brunswick,815,MS-0918,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",1.62,,Shellfish
New Brunswick,817,MS-1168,Q09,La Maison Beausoleil (2010) Inc.,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",10.79,,Shellfish
New Brunswick,819,MS-1262,Q09,Esmond Vautour,"April 1, 2032",Bottom culture,4.05,,Shellfish
New Brunswick,820,MS-1183,Q09,Donald Hébert,"April 1, 2031",Bottom culture,2.75,,Shellfish
New Brunswick,822,MS-1275,Q09,Denis N.. Thibodeau,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",7,,Shellfish
New Brunswick,823,MS-1257,Q09,Victor Aquaculture Inc.,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",5,,Shellfish
New Brunswick,825,MS-0738,Q09,Gérald Hébert,"April 1, 2031","Bottom culture,Off-bottom culture,Suspended culture",6.47,,Shellfish
New Brunswick,826,MS-0813,Q09,Raoul Breault,"April 1, 2031",Bottom culture,1.34,,Shellfish
New Brunswick,828,MS-0656,Q09,Philippe Breau,"April 1, 2027",Bottom culture,1.21,,Shellfish
New Brunswick,7,MF-0270,Q09,Benson Aquaculture Ltd.,,,35.9,,Finfish
New Brunswick,9,MF-0002,Q09,Kelly Cove Salmon Ltd.,"April 1, 2028",,10.12,4: Atlantic Salmon,Finfish
New Brunswick,11,MF-0350,Q09,MOWI Canada East Inc.,"April 1, 2030",,11.79,4: Atlantic Salmon,Finfish
New Brunswick,19,MF-0496,Q09,Kelly Cove Salmon Ltd.,"April 1, 2031",,47.25,,Finfish
New Brunswick,20,MF-0035,Q09,Kelly Cove Salmon Ltd.,"April 1, 2035",,14.1,,Finfish
New Brunswick,21,MF-0172,Q09,Kelly Cove Salmon Ltd.,"April 1, 2035",,26.6,,Finfish
New Brunswick,23,MF-0501,Q09,Kelly Cove Salmon Ltd.,"April 1, 2031",,34.97,,Finfish
New Brunswick,25,MF-0061,Q09,Kelly Cove Salmon Ltd.,"April 1, 2035",,24,,Finfish
New Brunswick,26,MF-0403,Q09,Kelly Cove Salmon Ltd.,"April 1, 2041",,28,,Finfish
New Brunswick,27,MF-0508,Q09,Kelly Cove Salmon Ltd.,"April 1, 2032",,33.75,,Finfish
New Brunswick,29,MF-0213,Q09,Kelly Cove Salmon Ltd.,"April 1, 2043",,19.8,4: Atlantic Salmon,Finfish
New Brunswick,30,MF-0349,Q09,Kelly Cove Salmon Ltd.,"April 1, 2039",,11.84,,Finfish
New Brunswick,31,MF-0056,Q09,Kelly Cove Salmon Ltd.,"April 1, 2032",,11.34,,Finfish
New Brunswick,34,MF-0159,Q09,LEAVITT'S HEAD SALMON LTD.,"April 1, 2035",,3.64,,Finfish
New Brunswick,35,MF-0270,Q09,Benson Aquaculture Ltd.,"April 1, 2032",,35.9,,Finfish
New Brunswick,36,MF-0033,Q09,T & J AQUACULTURE LTD.,"April 1, 2033",,5.61,,Finfish
New Brunswick,37,MF-0018,Q09,Kelly Cove Salmon Ltd.,"April 1, 2036",,10.19,,Finfish
New Brunswick,38,MF-0040,Q09,Kelly Cove Salmon Ltd.,"April 1, 2036",,8.86,,Finfish
New Brunswick,39,MF-0057,Q09,Kelly Cove Salmon Ltd.,"April 1, 2031",,7.3,,Finfish
New Brunswick,40,MF-0292,Q09,Kelly Cove Salmon Ltd.,"April 1, 2039",,32.9,,Finfish
New Brunswick,41,MF-0502,Q09,Kelly Cove Salmon Ltd.,"April 1, 2033",,37.5,,Finfish
New Brunswick,44,MF-0507,Q09,"Kelly Cove Salmon Ltd.,Kelly Cove Salmon Ltd.","April 1, 2036",,35,,Finfish
New Brunswick,46,MF-0017,Q09,Kelly Cove Salmon Ltd.,"April 1, 2037",,12.06,,Finfish
New Brunswick,47,MF-0368,Q09,"Kelly Cove Salmon Ltd.,Kelly Cove Salmon Ltd.","April 1, 2036",,15.25,,Finfish
New Brunswick,51,MF-0003,Q09,Kelly Cove Salmon Ltd.,"April 1, 2036",,18.72,,Finfish
New Brunswick,54,MF-0044,Q09,"Kelly Cove Salmon Ltd.,Kelly Cove Salmon Ltd.","April 1, 2027",,10.6,,Finfish
New Brunswick,55,MF-0036,Q09,MOWI Canada East Inc.,"April 1, 2027",,10.77,,Finfish
New Brunswick,56,MF-0084,Q09,MOWI Canada East Inc.,"April 1, 2027",,29.1,4: Atlantic Salmon,Finfish
New Brunswick,57,MF-0504,Q09,MOWI Canada East Inc.,"April 1, 2029",,37.5,,Finfish
New Brunswick,66,MF-0342,Q09,MOWI Canada East Inc.,"April 1, 2027",,20.25,,Finfish
New Brunswick,67,MF-0016,Q09,MOWI Canada East Inc.,"April 1, 2028",,17.36,,Finfish
New Brunswick,68,MF-0027,Q09,MOWI Canada East Inc.,"April 1, 2034",,30.26,,Finfish
New Brunswick,69,MF-0052,Q09,MOWI Canada East Inc.,"April 1, 2025",,5.19,,Finfish
New Brunswick,70,MF-0053,Q09,MOWI Canada East Inc.,"April 1, 2036",,24.32,,Finfish
New Brunswick,71,MF-0054,Q09,MOWI Canada East Inc.,"April 1, 2036",,13.56,,Finfish
New Brunswick,72,MF-0222,Q09,MOWI Canada East Inc.,"April 1, 2029",,23.43,,Finfish
New Brunswick,73,MF-0022,Q09,MOWI Canada East Inc.,"April 1, 2033",,10.72,,Finfish
New Brunswick,74,MF-0186,Q09,MOWI Canada East Inc.,"April 1, 2036",,6.3,,Finfish
New Brunswick,75,MF-0206,Q09,MOWI Canada East Inc.,"April 1, 2036",,6.75,,Finfish
New Brunswick,91,MF-0491,Q09,"Kelly Cove Salmon Ltd.,Kelly Cove Salmon Ltd.","April 1, 2038",,18.76,4: Atlantic Salmon,Finfish
New Brunswick,97,MF-0377,Q09,Kelly Cove Salmon Ltd.,"April 1, 2040",,30,,Finfish
New Brunswick,98,MF-0012,Q09,"Kelly Cove Salmon Ltd.,Kelly Cove Salmon Ltd.","April 1, 2041",,5.45,4: Atlantic Salmon,Finfish
New Brunswick,102,MF-0051,Q09,Kelly Cove Salmon Ltd.,"April 1, 2042",,9.11,,Finfish
New Brunswick,106,MF-0002,Q09,Lambert Salmon Inc.,"April 1, 2040",,10.12,,Finfish
New Brunswick,107,MF-0038,Q09,Kelly Cove Salmon Ltd.,"April 1, 2022",,10,,Finfish
New Brunswick,109,MF-0055,Q09,Kelly Cove Salmon Ltd.,"April 1, 2031",,12.72,,Finfish
New Brunswick,110,MF-0168,Q09,Kelly Cove Salmon Ltd.,"April 1, 2039",,26,,Finfish
New Brunswick,111,MF-0350,Q09,Neil Morse,"April 1, 2040",,11.79,,Finfish
New Brunswick,112,MF-0378,Q09,Kelly Cove Salmon Ltd.,"April 1, 2038",,41.71,,Finfish
New Brunswick,118,MF-0228,Q09,Kelly Cove Salmon Ltd.,"April 1, 2042",,19.37,4: Atlantic Salmon,Finfish
New Brunswick,119,MF-0034,Q09,Kelly Cove Salmon Ltd.,"April 1, 2025",,6.35,,Finfish
New Brunswick,120,MF-0049,Q09,Kelly Cove Salmon Ltd.,"April 1, 2026",,9.52,,Finfish
New Brunswick,121,MF-0023,Q09,Kelly Cove Salmon Ltd.,"April 1, 2025",,12.15,,Finfish
New Brunswick,122,MF-0029,Q09,Kelly Cove Salmon Ltd.,"April 1, 2043",,19.4,,Finfish
New Brunswick,124,MF-0042,Q09,Kelly Cove Salmon Ltd.,"April 1, 2025",,9.24,,Finfish
New Brunswick,125,MF-0045,Q09,Kelly Cove Salmon Ltd.,"April 1, 2042",,13.85,,Finfish
New Brunswick,126,MF-0046,Q09,Kelly Cove Salmon Ltd.,"April 1, 2042",,9.7,,Finfish
New Brunswick,127,MF-0059,Q09,Kelly Cove Salmon Ltd.,"April 1, 2042",,15.5,,Finfish
New Brunswick,128,MF-0179,Q09,Kelly Cove Salmon Ltd.,"April 1, 2025",,27.04,,Finfish
New Brunswick,129,MF-0214,Q09,Kelly Cove Salmon Ltd.,"April 1, 2025",,20,,Finfish
New Brunswick,130,MF-0215,Q09,Kelly Cove Salmon Ltd.,"April 1, 2042",,8.7,,Finfish
New Brunswick,131,MF-0251,Q09,Kelly Cove Salmon Ltd.,"April 1, 2042",,34.94,4: Atlantic Salmon,Finfish
New Brunswick,133,MF-0276,Q09,Kelly Cove Salmon Ltd.,"April 1, 2043",,15,4: Atlantic Salmon,Finfish
New Brunswick,134,MF-0290,Q09,Kelly Cove Salmon Ltd.,"April 1, 2025",,12.9,,Finfish
New Brunswick,135,MF-0320,Q09,Kelly Cove Salmon Ltd.,"April 1, 2025",,14.68,,Finfish
New Brunswick,136,MF-0413,Q09,Kelly Cove Salmon Ltd.,"April 1, 2025",,9.8,,Finfish
New Brunswick,137,MF-0050,Q09,Arctic Rose Inc.,"April 1, 2026",,12.17,,Finfish
New Brunswick,138,MF-0037,Q09,Kelly Cove Salmon Ltd.,"April 1, 2043",,25.64,,Finfish
New Brunswick,139,MF-0282,Q09,Kelly Cove Salmon Ltd.,"April 1, 2043",,23.13,4: Atlantic Salmon,Finfish
New Brunswick,143,MF-0014,Q09,Kelly Cove Salmon Ltd.,"April 1, 2029",,14.4,,Finfish
New Brunswick,144,MF-0316,Q09,Kelly Cove Salmon Ltd.,"April 1, 2029",,26.02,,Finfish
New Brunswick,145,MF-0370,Q09,Kelly Cove Salmon Ltd.,"April 1, 2029",,25.04,,Finfish
New Brunswick,146,MF-0404,Q09,Kelly Cove Salmon Ltd.,"April 1, 2029",,28,,Finfish
New Brunswick,147,MF-0381,Q09,Kelly Cove Salmon Ltd.,"April 1, 2029",,23.94,,Finfish
New Brunswick,148,MF-0400,Q09,Kelly Cove Salmon Ltd.,"April 1, 2030",,24,,Finfish
New Brunswick,150,MF-0298,Q09,Kelly Cove Salmon Ltd.,"April 1, 2029",,17.5,,Finfish
New Brunswick,152,MF-0300,Q09,Kelly Cove Salmon Ltd.,"April 1, 2029",,16.73,,Finfish
New Brunswick,153,MF-0412,Q09,Kelly Cove Salmon Ltd.,"April 1, 2030",,16.5,,Finfish
New Brunswick,154,MF-0495,Q09,Kelly Cove Salmon Ltd.,"April 1, 2030",,26.27,,Finfish
New Brunswick,155,MF-0010,Q09,Kelly Cove Salmon Ltd.,"April 1, 2026",,19.95,,Finfish
New Brunswick,156,MF-0026,Q09,Kelly Cove Salmon Ltd.,"April 1, 2043",,21.65,4: Atlantic Salmon,Finfish
New Brunswick,157,MF-0411,Q09,Kelly Cove Salmon Ltd.,"April 1, 2026",,15,,Finfish
New Brunswick,158,MF-0503,Q09,Benson Aquaculture Ltd.,"April 1, 2031",,26.51,,Finfish
New Brunswick,159,MF-0408,Q09,Kelly Cove Salmon Ltd.,"April 1, 2038",,33,,Finfish
New Brunswick,160,MF-0020,Q09,MOWI Canada East Inc.,"April 1, 2031",,17.55,,Finfish
New Brunswick,161,MF-0303,Q09,Kelly Cove Salmon Ltd.,"April 1, 2031",,19.84,,Finfish